location,company,net_roles,opened,closed,events,window_start,window_end,basis
Boston,Boston Medical Center,2,3,1,4,2026-09-03,2026-09-08,all events except coverage rows
Dallas,Methodist Health System (Dallas),-5,3,8,11,2026-09-03,2026-09-08,all events except coverage rows
Los Angeles,Keck Medicine of USC,-2,1,3,4,2026-09-03,2026-09-08,all events except coverage rows
Nashville,Vanderbilt University Medical Center,24,42,18,60,2026-09-03,2026-09-08,all events except coverage rows
Philadelphia,Jefferson Health,-1,1,2,3,2026-09-03,2026-09-08,all events except coverage rows
